zip;city;sex;age;category;magenta_1;sim_4g;arpu
1211;Budapest;M;42;LAK;0;1;1
5430;Tiszaföldvár;F;48;LAK;0;0;1
5123;Jászárokszállás;F;37;LAK;0;1;1
4242;Hajdúhadház;F;41;LAK;0;0;1
3834;Detek;F;67;LAK;0;1;2
1114;Budapest;F;86;LAK;0;0;1
1211;Budapest;M;42;LAK;0;0;2
6449;Mélykút;M;43;LAK;0;1;1
8123;Soponya;;;SMB;0;1;1
2400;Dunaújváros;F;57;LAK;0;0;1
4253;Nyíradony;F;35;LAK;1;1;4
9145;Bágyogszovát;M;39;LAK;0;1;1
8200;Veszprém;F;54;LAK;0;1;2
7622;Pécs;;;SMB;0;1;2
7585;Bakháza;M;34;LAK;0;1;1
1453;Budapest;;;TSS;0;0;1
3360;Heves;M;25;LAK;0;1;1
8900;Zalaegerszeg;;;SMB;0;1;1
1013;Budapest;M;;LAK;0;0;1
6334;Géderlak;M;39;LAK;0;0;1
4028;Debrecen;F;77;LAK;0;1;1
1141;Budapest;F;56;LAK;0;1;1
1211;Budapest;M;42;LAK;0;1;1
7561;Nagybajom;F;24;LAK;0;1;1
4032;Debrecen;F;;LAK;0;0;1
6400;Kiskunhalas;;;TSS;0;1;1
2132;Göd;;;TSS;0;1;1
3950;Sárospatak;F;28;LAK;0;0;1
1188;Budapest;M;51;LAK;0;0;1
7150;Bonyhád;;;SH+;0;1;2
2000;Szentendre;F;55;LAK;0;1;1
4181;Nádudvar;F;58;LAK;0;1;1
1145;Budapest;M;46;LAK;0;0;1
1389;Budapest;;;TSS;0;1;1
6903;Makó;F;;LAK;0;0;1
6345;Nemesnádudvar;M;29;LAK;0;1;1
1085;Budapest;M;;LAK;0;1;1
7187;Bonyhád;F;38;LAK;0;0;1
4032;Debrecen;;;TSS;0;1;1
8700;Marcali;M;42;LAK;0;1;1
7761;Kozármisleny;M;42;LAK;0;1;1
1188;Budapest;M;;LAK;0;0;1
1118;Budapest;;;SH+;0;1;1
2890;Tata;M;36;LAK;0;1;2
1195;Budapest;;;LAK;0;0;1
3980;Sátoraljaújhely;M;26;LAK;0;1;5
1162;Budapest;F;21;LAK;0;1;1
2740;Abony;F;;LAK;0;0;1
8710;Balatonszentgyörgy;F;41;LAK;0;1;1
9351;Babót;F;25;LAK;0;0;1
1087;Budapest;;;SMB;0;1;1
1152;Budapest;;;SMB;0;1;1
5055;Jászladány;;;SMB;0;1;1
8360;Keszthely;M;37;LAK;0;1;2
4071;Hortobágy;;;SMB;0;1;2
6800;Hódmezővásárhely;F;29;LAK;0;0;1
7164;Bátaapáti;M;62;LAK;0;0;1
1046;Budapest;M;76;LAK;0;1;2
7631;Pécs;M;;SH+;0;0;3
1039;Budapest;M;66;LAK;0;1;1
8000;Székesfehérvár;F;43;LAK;0;1;2
6200;Kiskőrös;;;SMB;0;1;1
7439;Bodrog;F;23;LAK;0;1;3
5241;Abádszalók;F;24;LAK;0;0;1
1173;Budapest;M;28;LAK;0;1;3
7150;Bonyhád;M;75;LAK;0;0;1
8900;Zalaegerszeg;M;30;LAK;0;1;2
6400;Kiskunhalas;;;SH+;0;1;2
8600;Siófok;M;39;LAK;0;1;1
7345;Alsómocsolád;F;44;LAK;0;0;1
4200;Hajdúszoboszló;F;57;LAK;0;1;1
2083;Solymár;;;SH+;0;1;3
2253;Tápióság;M;;LAK;0;0;1
7200;Dombóvár;M;32;LAK;0;1;1
2143;Kistarcsa;M;48;LAK;0;1;1
1052;Budapest;M;36;LAK;0;1;1
2340;Kiskunlacháza;F;51;LAK;0;1;1
8600;Siófok;M;;LAK;0;0;1
1215;Budapest;M;49;LAK;0;1;1
1039;Budapest;;;SMB;0;1;1
2030;Érd;;;SH+;0;1;1
1042;Budapest;;;SH+;0;1;1
2472;Kajászó;M;28;LAK;0;1;1
3200;Gyöngyös;F;58;LAK;0;1;1
6725;Szeged;M;78;LAK;0;1;1
7900;Szigetvár;M;;LAK;0;0;1
1133;Budapest;;;TSS;0;1;1
2000;Szentendre;F;42;LAK;0;0;1
8754;Galambok;M;39;LAK;0;0;2
3881;Abaújszántó;F;42;LAK;0;1;1
1087;Budapest;;;TSS;0;0;1
5435;Martfű;M;59;LAK;0;0;1
2800;Tatabánya;M;40;LAK;0;0;1
6764;Balástya;F;55;LAK;0;1;3
1041;Budapest;M;;LAK;0;0;1
8360;Keszthely;;;SH+;0;1;1
4024;Debrecen;;;SH+;0;1;1
5310;Kisújszállás;M;74;LAK;1;1;1
8315;Gyenesdiás;F;47;LAK;0;0;1
3642;Bánhorváti;F;72;LAK;0;1;1
6781;Domaszék;M;69;LAK;0;1;1
3200;Gyöngyös;;;TSS;0;1;1
9028;Győr;F;55;LAK;0;0;1
1144;Budapest;M;41;LAK;0;0;1
2335;Taksony;;;SMB;0;1;1
1113;Budapest;F;41;LAK;0;1;2
2852;Kecskéd;F;71;LAK;0;0;1
9751;Vép;;;SMB;0;1;2
1013;Budapest;M;46;LAK;0;1;1
9026;Győr;;;SMB;0;1;1
3136;Etes;F;56;LAK;0;0;1
1055;Budapest;;;LAK;0;1;1
8900;Zalaegerszeg;M;67;LAK;0;1;1
2131;Göd;F;54;LAK;0;0;1
6353;Dusnok;M;71;LAK;0;0;1
1146;Budapest;;;LAK;0;0;1
8200;Veszprém;;;SMB;0;1;2
2800;Tatabánya;F;55;LAK;0;1;1
4002;Debrecen;F;34;LAK;0;1;2
1116;Budapest;M;47;LAK;0;0;1
1054;Budapest;;;TSS;0;1;2
1223;Budapest;F;66;LAK;0;0;1
4450;Tiszalök;M;27;LAK;0;1;1
6422;Tompa;F;33;LAK;0;1;1
3604;Ózd;M;31;LAK;0;0;1
4283;Létavértes;F;62;LAK;0;0;1
1025;Budapest;;;TSS;0;1;2
1032;Budapest;M;49;LAK;0;1;1
2251;Tápiószecső;M;58;LAK;0;1;2
1083;Budapest;F;;LAK;0;0;1
1215;Budapest;M;49;LAK;0;1;1
1051;Budapest;;;TSS;0;1;1
1368;Budapest;;;TSS;0;1;1
7632;Pécs;F;21;LAK;0;1;3
1221;Budapest;F;56;LAK;0;1;1
8143;Sárszentmihály;M;47;LAK;0;1;3
1453;Budapest;;;TSS;0;1;1
1115;Budapest;;;TSS;0;1;1
9200;Mosonmagyaróvár;M;31;LAK;0;0;1
9700;Szombathely;F;45;LAK;0;1;1
8130;Enying;M;37;LAK;0;1;1
5244;Tiszaszőlős;M;21;LAK;0;1;2
7130;Tolna;;;SMB;0;1;1
1163;Budapest;;;SH+;0;1;1
1300;Budapest;;;TSS;0;1;1
1086;Budapest;F;32;LAK;0;1;2
1044;Budapest;;;TSS;0;1;1
7132;Bogyiszló;M;62;LAK;0;0;1
4028;Debrecen;F;61;LAK;0;1;2
4181;Nádudvar;M;37;LAK;0;0;1
4722;Nyírmeggyes;F;35;LAK;0;0;1
1108;Budapest;M;38;LAK;0;1;1
2456;Besnyő;F;55;LAK;0;1;2
4241;Bocskaikert;;;SMB;0;1;1
7300;Mecsekpölöske;M;62;LAK;0;1;1
1041;Budapest;M;50;LAK;0;0;1
6800;Hódmezővásárhely;M;62;LAK;0;1;1
1211;Budapest;M;42;LAK;0;0;1
3973;Cigánd;M;20;LAK;0;1;1
1149;Budapest;M;38;LAK;0;1;1
2600;Vác;F;23;LAK;0;1;1
1036;Budapest;F;58;LAK;0;1;2
6720;Szeged;;;TSS;0;1;2
4245;Érpatak;F;42;LAK;0;1;1
4484;Ibrány;M;46;LAK;0;1;3
3128;Vizslás;F;;LAK;0;0;1
1039;Budapest;;;TSS;0;1;1
2253;Tápióság;F;62;LAK;0;0;1
5322;Tiszaszentimre;F;28;LAK;0;1;2
7098;Magyarkeszi;M;59;LAK;0;0;1
9071;Gönyű;M;23;LAK;0;0;3
1125;Budapest;F;69;LAK;0;1;1
8866;Becsehely;M;55;LAK;0;1;1
3600;Ózd;M;44;LAK;0;0;1
2643;Diósjenő;F;49;LAK;0;0;1
3014;Hort;M;67;LAK;0;0;1
1188;Budapest;F;45;LAK;0;1;3
9200;Mosonmagyaróvár;M;40;LAK;0;1;1
1095;Budapest;;;SMB;0;1;1
8000;Székesfehérvár;M;45;LAK;0;0;1
1214;Budapest;M;;LAK;0;0;1
2699;Szügy;M;47;LAK;0;1;2
1044;Budapest;M;79;LAK;0;0;1
2151;Fót;F;47;LAK;0;1;1
6722;Szeged;;;SMB;0;0;2
6400;Kiskunhalas;;;TSS;0;1;1
9600;Sárvár;;;TSS;0;0;5
5600;Békéscsaba;;;SMB;0;0;1
9224;Rajka;F;36;LAK;0;0;1
8500;Pápa;M;42;LAK;0;1;3
1173;Budapest;M;31;LAK;0;1;1
6721;Szeged;M;72;LAK;1;1;2
1204;Budapest;F;53;LAK;0;1;3
1211;Budapest;M;42;LAK;0;0;1
2161;Csomád;;;SMB;0;1;1
7456;Felsőmocsolád;M;23;LAK;0;0;1
5361;Tiszaigar;M;58;LAK;0;0;1
1192;Budapest;F;62;LAK;0;1;1
4163;Szerep;F;42;LAK;0;0;1
1147;Budapest;M;;LAK;0;0;2
7773;Villány;;;SH+;0;0;1
6120;Kiskunmajsa;M;61;LAK;0;0;1
6343;Miske;F;;LAK;0;1;1
1027;Budapest;;;TSS;0;1;1
1155;Budapest;F;48;LAK;0;1;1
1119;Budapest;M;;LAK;0;0;1
1118;Budapest;F;38;LAK;0;1;2
7018;Sárbogárd;M;26;LAK;0;0;1
1380;Budapest;;;TSS;0;1;1
2030;Érd;F;47;LAK;0;1;3
5476;Szelevény;;;TSS;0;1;5
2060;Bicske;M;53;LAK;0;0;1
1211;Budapest;M;42;LAK;0;0;1
1155;Budapest;M;37;LAK;0;0;1
1034;Budapest;;;TSS;0;0;1
2030;Érd;;;SH+;0;1;1
2300;Ráckeve;;;SH+;0;1;1
4025;Debrecen;;;TSS;0;1;1
1215;Budapest;M;49;LAK;0;1;1
6454;Bácsborsód;;;SMB;0;1;1
1117;Budapest;F;;SH+;0;1;1
3535;Miskolc;F;35;LAK;0;0;1
2534;Tát;;;SH+;0;1;4
4400;Nyíregyháza;F;51;LAK;0;1;3
3608;Farkaslyuk;M;42;LAK;0;0;3
9700;Szombathely;F;73;LAK;0;1;2
1066;Budapest;;;TSS;0;1;1
2518;Leányvár;M;62;LAK;0;1;1
1211;Budapest;;;TSS;0;1;1
7081;Simontornya;F;59;LAK;0;0;1
5420;Túrkeve;F;48;LAK;0;1;2
7625;Pécs;F;58;LAK;0;0;1
1136;Budapest;F;44;LAK;0;1;4
8412;Veszprém;M;53;LAK;0;1;1
2903;Komárom;M;54;LAK;0;1;1
8956;Páka;;;SMB;0;0;1
1165;Budapest;;;SH+;0;0;1
2360;Gyál;F;23;LAK;0;1;1
2750;Nagykőrös;F;47;LAK;0;1;1
1149;Budapest;;;TSS;0;1;1
1076;Budapest;M;29;LAK;0;1;1
5300;Karcag;M;45;LAK;0;1;2
5630;Békés;;;LAK;0;0;1
3600;Ózd;;;LAK;0;1;1
3300;Eger;F;32;LAK;0;0;1
9023;Győr;M;40;LAK;0;1;2
1116;Budapest;;;TSS;0;1;1
6722;Szeged;M;56;LAK;0;1;1
1139;Budapest;;;TSS;0;0;1
3532;Miskolc;F;60;LAK;0;0;1
1453;Budapest;;;TSS;0;1;1
2740;Abony;M;25;LAK;0;1;2
2360;Gyál;F;52;LAK;0;1;2
2220;Vecsés;M;44;LAK;0;1;2
8656;Nagyberény;M;29;LAK;0;1;2
5310;Kisújszállás;M;;SH+;0;0;1
8400;Ajka;M;55;LAK;0;1;2
4400;Nyíregyháza;;;SMB;0;1;2
2243;Kóka;F;43;LAK;0;0;1
9300;Csorna;M;41;LAK;0;1;2
1453;Budapest;;;TSS;0;1;1
5527;Bucsa;M;67;LAK;0;0;2
8700;Csömend;M;60;LAK;0;0;1
5100;Jászberény;F;59;LAK;0;0;1
8183;Papkeszi;;;SH+;0;1;1
2000;Szentendre;;;TSS;0;0;2
1205;Budapest;F;46;LAK;0;1;2
1149;Budapest;M;32;LAK;0;0;1
5243;Tiszaderzs;;;TSS;0;1;2
8174;Balatonkenese;M;51;LAK;0;1;2
4361;Nyírbogát;F;55;LAK;0;0;1
4242;Hajdúhadház;M;31;LAK;0;1;1
8991;Teskánd;F;34;LAK;0;0;1
1211;Budapest;M;42;LAK;0;0;1
4450;Tiszalök;F;38;LAK;0;1;1
1149;Budapest;;;TSS;0;1;1
6100;Kiskunfélegyháza;M;;LAK;0;0;1
8971;Zalabaksa;;;TSS;0;1;1
7370;Meződ;F;32;LAK;0;1;1
6223;Soltszentimre;M;25;LAK;0;1;3
4064;Nagyhegyes;F;45;LAK;0;1;1
9700;Szombathely;F;46;LAK;0;1;1
4555;Levelek;M;48;LAK;1;1;3
2040;Budaörs;M;62;LAK;0;1;1
8790;Zalaszentgrót;M;20;LAK;0;0;1
1042;Budapest;;;SH+;0;0;1
2211;Vasad;M;69;LAK;0;1;2
2536;Nyergesújfalu;F;47;LAK;0;1;1
2100;Gödöllő;M;57;LAK;0;0;1
5900;Orosháza;F;48;LAK;0;1;2
6723;Szeged;F;27;LAK;0;1;1
9500;Celldömölk;M;55;LAK;0;1;2
8229;Csopak;;;TSS;0;0;1
4087;Hajdúdorog;M;30;LAK;0;1;2
6132;Móricgát;;;LAK;0;0;1
8800;Nagykanizsa;F;57;LAK;0;1;1
1044;Budapest;F;67;LAK;0;1;1
8200;Veszprém;F;70;LAK;0;1;1
1113;Budapest;;;SMB;0;1;1
1136;Budapest;M;63;LAK;0;1;4
6447;Felsőszentiván;F;37;LAK;0;1;1
2098;Pilisszentkereszt;F;47;LAK;0;1;4
1453;Budapest;;;TSS;0;1;2
1193;Budapest;M;44;LAK;0;0;1
6900;Makó;M;25;LAK;0;0;1
6060;Tiszakécske;M;42;LAK;0;1;1
1149;Budapest;;;TSS;0;1;1
1172;Budapest;M;41;LAK;0;0;1
9121;Győrszemere;F;52;LAK;0;1;2
3756;Perkupa;M;48;LAK;0;0;1
9226;Dunasziget;;;SH+;0;0;1
1203;Budapest;M;61;LAK;0;0;2
1039;Budapest;M;40;LAK;0;1;1
4026;Debrecen;;;SH+;0;1;1
6800;Baja;F;70;LAK;0;0;1
2220;Vecsés;M;44;LAK;0;1;1
9700;Szombathely;M;66;LAK;0;0;4
1113;Budapest;M;41;LAK;0;1;1
6612;Nagytőke;M;38;LAK;0;1;1
3573;Sajópetri;;;SMB;0;1;1
4262;Nyíracsád;M;;SH+;0;0;1
9700;Szombathely;;;TSS;0;1;3
9300;Csorna;M;39;LAK;0;1;1
1171;Budapest;M;29;LAK;0;0;1
9735;Csepreg;F;33;LAK;0;1;1
3502;Miskolc;;;SH+;0;0;1
6326;Harta;;;SMB;0;1;2
1388;Budapest;;;TSS;0;1;1
8154;Polgárdi;M;54;LAK;0;0;1
1013;Budapest;M;46;LAK;0;1;2
2092;Budakeszi;F;62;LAK;0;1;1
1251;Budapest;;;SMB;0;1;2
6134;Kömpöc;F;38;LAK;0;0;1
2000;Szentendre;;;SMB;0;1;2
6800;Hódmezővásárhely;M;39;LAK;0;1;1
6724;Szeged;;;TSS;0;1;1
2525;Bajna;M;48;LAK;0;0;1
6758;Röszke;F;28;LAK;0;1;2
8971;Zalabaksa;;;TSS;0;1;1
5350;Tiszafüred;M;41;LAK;0;1;1
8600;Siófok;F;48;LAK;0;0;1
9700;Szombathely;;;TSS;0;1;1
2133;Sződliget;M;51;LAK;0;0;1
6454;Bácsborsód;;;SMB;0;1;1
1106;Budapest;M;75;LAK;0;1;1
3535;Miskolc;F;29;LAK;0;0;1
6454;Bácsborsód;;;SMB;0;1;1
2344;Dömsöd;M;31;LAK;0;1;2
8790;Zalaszentgrót;F;32;LAK;0;0;1
3011;Heréd;M;44;LAK;0;0;1
1013;Budapest;M;;LAK;0;0;1
2421;Nagyvenyim;F;;LAK;0;0;2
4090;Polgár;F;79;LAK;0;1;4
3000;Hatvan;F;24;LAK;0;1;2
8225;Szentkirályszabadja;M;56;LAK;0;1;2
1204;Budapest;F;40;LAK;0;1;1
6784;Öttömös;F;26;LAK;0;1;4
2310;Szigetszentmiklós;F;66;LAK;0;1;2
1013;Budapest;M;46;LAK;0;1;1
1042;Budapest;;;SH+;0;0;1
4025;Debrecen;F;58;LAK;0;1;1
3433;Nyékládháza;M;61;LAK;1;1;1
6723;Szeged;F;36;LAK;0;0;1
1203;Budapest;M;;LAK;0;0;1
8253;Révfülöp;M;75;LAK;0;1;2
1064;Budapest;F;45;LAK;0;1;1
4060;Balmazújváros;F;54;LAK;0;1;2
1453;Budapest;;;TSS;0;1;1
2100;Gödöllő;F;67;LAK;0;0;2
2030;Érd;F;49;LAK;0;0;1
8900;Zalaegerszeg;M;51;LAK;0;0;1
3400;Mezőkövesd;F;59;LAK;1;1;1
4025;Debrecen;F;39;LAK;0;1;1
1043;Budapest;M;51;LAK;0;0;1
4028;Debrecen;;;TSS;0;1;1
1147;Budapest;F;46;LAK;0;1;1
9113;Koroncó;M;25;LAK;0;1;2
7051;Kajdacs;F;47;LAK;0;0;1
4124;Esztár;M;;LAK;0;0;1
9330;Kapuvár;F;34;LAK;0;0;1
3860;Encs;F;52;LAK;0;0;2
3398;Nagytálya;;;LAK;0;0;2
4405;Nyíregyháza;;;SMB;0;1;1
4150;Püspökladány;;;TSS;0;1;5
1135;Budapest;;;TSS;0;1;1
9407;Sopron;M;48;LAK;0;1;1
9700;Szombathely;M;55;LAK;0;1;1
2040;Budaörs;F;46;LAK;0;1;2
4525;Rétközberencs;;;SMB;0;1;1
1453;Budapest;;;TSS;0;1;1
1039;Budapest;M;42;LAK;0;0;1
2340;Kiskunlacháza;M;;LAK;0;0;1
4363;Nyírmihálydi;F;55;LAK;0;1;1
2431;Perkáta;M;56;LAK;0;0;1
6723;Szeged;M;63;LAK;0;1;1
1211;Budapest;M;42;LAK;0;1;1
4800;Vásárosnamény;M;;SH+;0;1;4
7500;Nagyatád;;;SMB;0;1;1
9633;Simaság;M;55;LAK;0;1;1
7628;Pécs;M;52;LAK;0;1;1
1211;Budapest;M;42;LAK;0;1;1
8500;Pápa;M;61;LAK;0;1;2
4263;Nyírmártonfalva;M;55;LAK;0;0;1
7400;Kaposvár;M;60;LAK;0;1;2
4200;Hajdúszoboszló;F;27;LAK;0;1;1
7815;Harkány;;;SH+;0;1;3
5350;Tiszafüred;;;TSS;0;1;3
8229;Csopak;;;TSS;0;1;1
2642;Nógrád;M;48;LAK;0;0;2
9700;Szombathely;;;SH+;0;1;3
7000;Sárbogárd;F;44;LAK;0;1;1
5600;Békéscsaba;F;24;LAK;0;1;1
8154;Polgárdi;M;29;LAK;0;1;5
1133;Budapest;;;LAK;0;1;1
4087;Hajdúdorog;;;SMB;0;1;1
7720;Pécsvárad;F;55;LAK;0;1;3
1221;Budapest;M;41;LAK;0;1;4
7621;Pécs;;;SMB;0;1;1
1410;Budapest;;;SH+;0;0;2
5000;Szolnok;F;48;LAK;0;1;1
1088;Budapest;F;29;LAK;0;1;2
2000;Szentendre;M;58;LAK;0;0;1
7814;Kisdér;F;77;LAK;0;1;1
2660;Balassagyarmat;M;;LAK;0;0;1
2095;Pilisszántó;;;SH+;0;1;2
1300;Budapest;;;TSS;0;1;1
5600;Békéscsaba;;;SMB;0;1;2
4090;Polgár;F;24;LAK;0;1;1
4966;Vámosoroszi;;;LAK;0;1;1
2400;Dunaújváros;F;19;LAK;0;1;1
3322;Hevesaranyos;F;20;LAK;0;0;1
8411;Veszprém;;;SMB;0;0;1
1054;Budapest;;;TSS;0;1;1
3533;Miskolc;F;49;LAK;0;1;5
4184;Tetétlen;F;;LAK;0;0;1
4002;Debrecen;;;TSS;0;1;2
7161;Cikó;F;29;LAK;0;1;1
3535;Miskolc;;;SH+;0;1;2
7800;Siklós;F;21;LAK;0;1;1
6454;Bácsborsód;;;SMB;0;1;1
1051;Budapest;;;TSS;0;1;1
2314;Halásztelek;;;TSS;0;1;2
6453;Bácsbokod;M;;LAK;0;0;1
4032;Debrecen;F;66;LAK;0;0;2
4516;Demecser;M;63;LAK;0;1;1
1171;Budapest;;;SMB;0;1;1
2251;Tápiószecső;M;59;LAK;0;1;2
4026;Debrecen;F;45;LAK;0;1;1
2800;Tatabánya;;;SH+;0;0;1
9022;Győr;F;41;LAK;0;1;1
6800;Hódmezővásárhely;M;;LAK;0;0;1
4461;Nyírtelek;F;25;LAK;0;1;3
8600;Siófok;F;47;LAK;0;1;3
7200;Dombóvár;F;;LAK;0;0;1
8900;Zalaegerszeg;M;76;LAK;0;1;2
5900;Orosháza;F;;LAK;0;0;1
6041;Kerekegyháza;M;40;LAK;0;0;2
8900;Zalaegerszeg;M;34;LAK;0;0;1
8500;Pápa;M;32;LAK;0;1;1
2310;Szigetszentmiklós;F;26;LAK;0;1;2
4033;Debrecen;;;SH+;0;1;4
7140;Bátaszék;F;46;LAK;0;1;1
1211;Budapest;M;;LAK;0;0;1
2941;Ács;;;TSS;0;0;2
5820;Mezőhegyes;M;41;LAK;0;1;1
8800;Nagykanizsa;F;87;LAK;0;0;1
2400;Dunaújváros;;;TSS;0;1;1
5126;Jászfényszaru;;;TSS;0;1;2
8391;Sármellék;;;TSS;0;1;1
1125;Budapest;F;75;LAK;0;1;1
9730;Kőszeg;M;51;LAK;0;1;1
3100;Salgótarján;F;42;LAK;0;1;1
4163;Szerep;M;46;LAK;0;0;1
6900;Makó;F;48;LAK;0;0;1
1117;Budapest;;;LAK;0;0;1
7064;Gyönk;M;61;LAK;0;0;1
6000;Kecskemét;M;55;LAK;1;1;1
1453;Budapest;;;TSS;0;1;1
6000;Kecskemét;F;61;LAK;0;1;1
1075;Budapest;M;41;LAK;0;1;1
2045;Törökbálint;;;SMB;0;1;1
1192;Budapest;;;LAK;0;1;1
2351;Alsónémedi;;;TSS;0;1;2
1215;Budapest;M;49;LAK;0;0;1
8776;Bocska;F;63;LAK;0;1;1
1155;Budapest;;;TSS;0;1;1
1054;Budapest;F;27;LAK;0;1;4
3626;Hangony;M;;LAK;0;0;1
1211;Budapest;M;42;LAK;0;0;1
1153;Budapest;F;43;LAK;0;1;1
3961;Vajdácska;M;52;LAK;0;1;1
9071;Gönyű;M;;LAK;0;0;1
1052;Budapest;;;LAK;0;1;1
1021;Budapest;F;79;LAK;0;0;1
5920;Csorvás;;;SMB;0;1;1
1116;Budapest;;;SMB;0;1;1
7213;Szakcs;M;45;LAK;0;1;1
4561;Baktalórántháza;M;64;LAK;0;0;1
6000;Kecskemét;M;36;LAK;0;1;1
8196;Litér;M;;LAK;0;0;1
5130;Jászapáti;M;20;LAK;0;0;1
6060;Tiszakécske;;;SH+;0;0;1
1108;Budapest;M;38;LAK;0;0;1
2370;Dabas;;;SH+;0;1;1
1204;Budapest;M;48;LAK;0;1;2
1181;Budapest;;;SH+;0;1;2
8992;Bagod;F;77;LAK;0;1;1
1211;Budapest;M;42;LAK;0;1;1
5081;Szolnok;F;56;LAK;0;0;1
9172;Győrzámoly;M;31;LAK;0;1;3
1023;Budapest;;;TSS;0;0;1
1027;Budapest;;;SMB;0;1;3
3817;Gagybátor;M;36;LAK;0;1;1
1021;Budapest;M;52;LAK;0;0;1
1054;Budapest;;;TSS;0;1;1
8229;Csopak;;;TSS;0;1;1
2089;Telki;M;24;LAK;0;1;2
7362;Gerényes;M;36;LAK;0;0;1
1036;Budapest;M;42;LAK;0;1;1
5322;Tiszaszentimre;F;;LAK;0;0;1
7100;Szekszárd;M;78;LAK;0;0;1
4564;Nyírmada;;;SH+;0;1;1
8330;Sümeg;F;44;LAK;0;1;1
3350;Kál;M;47;LAK;0;1;1
2200;Monor;M;;SH+;0;1;1
9700;Szombathely;M;55;LAK;0;1;4
2060;Bicske;F;38;LAK;0;0;1
1221;Budapest;F;38;LAK;0;1;2
2100;Gödöllő;M;33;LAK;0;1;1
9371;Vitnyéd;F;47;LAK;0;0;1
2921;Komárom;M;48;LAK;0;0;1
9151;Abda;F;23;LAK;0;0;1
1182;Budapest;M;49;LAK;0;1;4
1021;Budapest;F;77;LAK;0;1;1
5600;Békéscsaba;M;61;LAK;0;0;1
1152;Budapest;;;SH+;0;1;2
5300;Karcag;M;30;LAK;0;1;1
6456;Madaras;;;SMB;0;1;1
9833;Csehi;F;62;LAK;0;1;1
9422;Harka;M;51;LAK;1;1;1
8474;Csabrendek;F;39;LAK;0;1;2
9730;Kőszeg;M;61;LAK;0;0;1
3527;Miskolc;;;SMB;0;1;1
3529;Miskolc;;;SMB;0;1;2
1211;Budapest;M;42;LAK;0;1;1
8712;Balatonújlak;M;39;LAK;0;0;1
5630;Békés;M;;LAK;0;0;1
7020;Dunaföldvár;F;28;LAK;0;0;1
1751;Budapest;;;TSS;0;1;2
8175;Balatonfűzfő;M;46;LAK;0;1;2
