dataset;subscriber;zip;sex;age;magan;uzleti;magenta_1;arpu;sim_4g
10.03;584B6C4A;1211;M;54;1;0;0;1;0
10.03;58000A67;1119;M;25;1;0;0;2;1
10.03;583B5889;1101;M;43;1;0;0;1;1
10.03;58465D89;1203;F;70;1;0;1;2;1
10.03;584B5A0A;1036;M;35;1;0;0;2;1
10.03;582EDAC0;1139;F;68;1;0;0;1;1
10.03;583404F9;1143;F;51;1;0;1;2;0
10.03;58033BA0;1015;;;0;1;0;1;1
10.03;58270860;1015;F;26;1;0;0;2;1
10.03;580964C0;1146;F;47;1;0;0;2;1
10.03;582D13F6;1211;M;42;1;0;0;1;0
10.03;582B23DE;1453;;;0;1;0;1;1
10.03;58470946;1086;M;51;1;0;0;5;1
10.03;585F7E2A;1243;;;0;1;0;1;1
10.03;581C7D9B;1163;F;76;1;0;0;1;1
10.03;5849E492;1051;;;0;1;0;1;1
10.03;58005B2F;1055;F;78;1;0;0;2;1
10.03;584E9264;1453;;;0;1;0;1;1
10.03;584FCA95;1042;;;1;1;0;1;1
10.03;584AE46B;1238;;;0;1;0;1;1
10.03;580D00AA;1137;;;0;1;0;4;1
10.03;58223F26;1013;M;46;1;0;0;2;1
10.03;584861E4;1174;M;77;1;0;0;1;0
10.03;584A9461;1211;M;42;1;0;0;1;1
10.03;584FF812;1174;F;36;1;0;0;1;0
10.03;582993A0;1135;;;1;1;0;5;1
10.03;582BD31C;1215;M;49;1;0;0;1;1
10.03;580D182E;1026;F;79;1;0;0;1;1
10.03;584D7CE1;1087;;;0;1;0;1;1
10.03;5858C513;1214;M;30;1;0;0;1;0
10.03;5805123D;1152;;;0;1;0;1;1
10.03;5838D28B;1088;F;39;1;0;0;1;0
10.03;5833CF9D;1211;M;42;1;0;0;1;1
10.03;5835E7AE;1162;M;52;1;0;0;1;1
10.03;581FA783;1112;F;69;1;0;0;1;1
10.03;5832D25B;1108;F;22;1;0;0;2;1
10.03;581A0AA0;1025;M;29;1;0;0;3;1
10.03;5846C90F;1054;;;0;1;0;3;1
10.03;5829F813;1025;M;;1;0;0;2;0
10.03;5814D672;1194;F;59;1;0;0;1;0
10.03;58584D4D;1126;M;41;1;0;0;1;1
10.03;58498421;1055;M;69;1;0;0;3;1
10.03;58277986;1300;;;0;1;0;1;1
10.03;5826D59C;1184;F;87;1;0;0;1;0
10.03;584F0CDF;1084;M;38;1;0;0;2;1
10.03;58298C92;1202;F;46;1;0;0;1;0
10.03;584B62C0;1073;;;0;1;0;1;0
10.03;5803D104;1115;;;0;1;0;1;1
10.03;584C0D19;1192;F;56;1;0;0;1;0
10.03;5837BB11;1453;;;0;1;0;1;1
10.03;58078764;1149;;;0;1;0;1;1
10.03;583C72A8;1093;;;0;1;0;3;1
10.03;583F545B;1037;;;1;1;0;1;1
10.03;581128EE;1192;;;0;1;0;3;1
10.03;585E5003;1161;F;75;1;0;0;2;1
10.03;583FE354;1042;;;1;1;0;1;0
10.03;58025B4B;1034;;;0;1;0;1;1
10.03;583337D7;1025;M;38;1;0;0;1;1
10.03;584A5AC1;1453;;;0;1;0;1;1
10.03;5840C9EB;1052;;;1;0;0;1;1
10.03;5841EAB7;1062;M;90;1;0;0;4;1
10.03;58350749;1038;F;47;1;0;0;1;1
10.03;58496CF3;1131;M;51;1;0;0;1;0
10.03;584A7C54;1147;;;1;1;0;3;1
10.03;584237C6;1031;M;58;1;0;0;1;1
10.03;581C277D;1042;;;0;1;0;1;1
10.03;580E347B;1111;M;67;1;0;0;1;1
10.03;582322CD;1071;F;43;1;0;0;3;1
10.03;5834A6C8;1042;;;0;1;0;1;1
10.03;5858AB9F;1188;F;41;1;0;0;1;1
10.03;5823CE28;1038;F;50;1;0;0;1;0
10.03;58277F8A;1203;F;43;1;0;0;1;0
10.03;5825109C;1036;M;74;1;0;0;1;0
10.03;581325D4;1013;M;46;1;0;0;1;1
10.03;5841FD31;1042;;;1;1;0;2;1
10.03;583CD14F;1071;F;57;1;0;0;1;1
10.03;58120FAF;1139;F;40;1;0;0;1;0
10.03;582F2692;1453;;;0;1;0;1;1
10.03;582191A5;1211;M;42;1;0;0;1;0
10.03;582BA07E;1453;;;0;1;0;1;1
10.03;580B44D9;1013;M;46;1;0;0;1;1
10.03;583FA414;1111;F;28;1;0;0;2;1
10.03;584147FD;1078;M;47;1;0;0;1;1
10.03;58032DF7;1026;M;72;1;0;0;1;0
10.03;581F62BC;1095;;;0;1;0;2;1
10.03;58296406;1042;;;1;1;0;1;0
10.03;58241831;1211;M;42;1;0;0;1;0
10.03;583720BB;1211;M;42;1;0;0;1;0
10.03;582FB11F;1453;;;0;1;0;1;1
10.03;58392C40;1134;M;27;1;0;0;4;1
10.03;580A99B9;1037;;;0;1;0;1;1
10.03;58366580;1033;;;1;1;0;2;1
10.03;5848D38E;1399;;;0;1;0;1;1
10.03;58281A48;1051;;;0;1;0;1;1
10.03;58189F62;1211;M;42;1;0;0;1;0
10.03;5843EA9B;1191;M;39;1;0;0;1;0
10.03;582E9CFD;1174;F;56;1;0;0;1;1
10.03;584A141C;1114;F;;1;0;0;1;0
10.03;5843767A;1203;M;49;1;0;0;1;1
10.03;5841EBF2;1211;M;42;1;0;0;1;0
10.03;585C4A5D;1031;F;37;1;0;0;1;0
10.03;5829F821;1141;;;1;1;0;1;1
10.03;5829364F;1039;M;42;1;0;0;1;0
10.03;58309095;1065;;;0;1;0;1;1
10.03;58111122;1186;M;68;1;0;1;3;1
10.03;584C5505;1029;M;30;1;0;0;2;0
10.03;58201321;1453;;;0;1;0;4;1
10.03;58327CF7;1453;;;0;1;0;1;1
10.03;580AC46D;1063;F;62;1;0;0;1;1
10.03;5818E75B;1042;;;1;1;0;3;1
10.03;585EDDE2;1215;M;49;1;0;0;1;1
10.03;585D488F;1067;M;30;1;0;0;3;1
10.03;580F1A81;1013;M;46;1;0;0;1;1
10.03;5826CDA8;1188;M;41;1;0;0;1;1
10.03;580E559B;1122;M;49;1;0;0;1;1
10.03;580F61DB;1089;M;54;1;0;0;1;1
10.03;582AF202;1171;F;60;1;0;0;1;1
10.03;5814D0F0;1225;;;0;1;0;3;1
10.03;5815637C;1138;;;1;1;0;1;1
10.03;583C9264;1023;;;0;1;0;1;0
10.03;5817877E;1108;M;38;1;0;0;1;0
10.03;5843CF04;1043;F;32;1;0;0;1;0
10.03;58092FCD;1222;M;51;1;0;0;3;1
10.03;580F3B54;1215;M;49;1;0;0;1;0
10.03;580775A8;1055;;;0;1;0;1;0
10.03;58077D2E;1142;;;1;1;0;2;1
10.03;580AA033;1453;;;0;1;0;1;1
10.03;58327CD9;1138;M;64;1;0;0;1;1
10.03;58039810;1025;;;0;1;0;1;1
10.03;58132D7B;1117;;;0;1;0;1;1
10.03;5818246B;1048;M;33;1;0;0;1;0
10.03;580FA0D1;1048;M;28;1;0;0;1;1
10.03;58334D62;1034;;;0;1;0;5;1
10.03;585A9ADD;1211;M;42;1;0;0;1;1
10.03;580B8728;1163;M;46;1;0;0;3;1
10.03;581F7FF3;1094;;;1;1;0;3;1
10.03;58596591;1165;F;;1;1;0;1;0
10.03;5826A029;1201;M;39;1;0;0;1;1
10.03;58306B1A;1211;M;42;1;0;0;1;1
10.03;5803BB87;1188;M;40;1;0;0;1;1
10.03;5842E71D;1149;;;0;1;0;1;1
10.03;5839B4EF;1162;F;72;1;0;0;1;0
10.03;583199C9;1133;;;0;1;0;1;1
10.03;5823B11D;1116;F;29;1;0;0;1;1
10.03;580CAD58;1042;;;1;1;0;1;0
10.03;5849699D;1211;M;42;1;0;0;1;0
10.03;585A126E;1181;M;37;1;0;0;2;1
10.03;5844A394;1103;;;0;1;0;1;1
10.03;582ED557;1300;;;0;1;0;1;1
10.03;5858812D;1426;;;0;1;0;1;1
10.03;58116D7E;1146;M;39;1;0;0;1;1
10.03;580ED5AB;1114;F;72;1;0;0;1;1
10.03;5841D2E4;1112;F;48;1;0;0;2;1
10.03;5818F55E;1192;M;23;1;0;0;1;1
10.03;582ADDF5;1300;;;0;1;0;1;1
10.03;5810B0FB;1156;M;65;1;0;0;1;0
10.03;5811E620;1014;F;28;1;0;0;1;1
10.03;581F7978;1031;F;34;1;0;0;2;1
10.03;583C76F4;1183;;;0;1;0;1;1
10.03;58246B92;1108;M;32;1;0;0;2;1
10.03;583295D5;1183;M;58;1;0;0;1;1
10.03;5810D355;1194;;;0;1;0;3;1
10.03;58375A5C;1172;F;41;1;0;0;1;1
10.03;58053B2B;1211;M;42;1;0;0;1;1
10.03;582359E6;1182;;;0;1;0;1;1
10.03;583727E3;1039;F;61;1;0;0;2;1
10.03;5827E980;1192;F;86;1;0;0;1;0
10.03;581B32E9;1041;M;35;1;0;0;1;1
10.03;58323D04;1215;M;49;1;0;0;1;1
10.03;5825C234;1103;;;0;1;0;1;1
10.03;582683C7;1215;M;49;1;0;0;1;1
10.03;5859C947;1037;;;1;1;0;1;1
10.03;580D5B46;1087;;;0;1;0;1;1
10.03;5808E952;1112;;;0;1;0;1;1
10.03;582B41CA;1127;;;0;1;0;1;0
10.03;5841644E;1115;F;77;1;0;0;2;1
10.03;58224DBE;1132;;;0;1;0;4;1
10.03;58254E7C;1013;M;46;1;0;0;1;1
10.03;580715A4;1108;M;38;1;0;0;1;0
10.03;580D8817;1054;;;0;1;0;1;1
10.03;5848DCB2;1162;;;1;1;0;1;1
10.03;58327B12;1042;;;1;1;0;1;1
10.03;582B486A;1462;;;0;1;0;3;1
10.03;581A759E;1039;F;;1;0;0;1;0
10.03;585F83DF;1042;;;1;1;0;1;1
10.03;5819F913;1131;M;35;1;0;0;1;1
10.03;5823A431;1165;M;28;1;0;0;5;1
10.03;581BFC2E;1042;;;1;1;0;2;1
10.03;5805077F;1134;;;1;1;0;1;1
10.03;585CB2BE;1042;;;1;1;0;1;1
10.03;585D7266;1453;;;0;1;0;1;1
10.03;582F481C;1112;M;59;1;0;0;2;1
10.03;583EC045;1211;M;42;1;0;0;1;0
10.03;583878A3;1183;M;;1;0;0;1;0
10.03;580AC5B5;1042;;;1;1;0;1;1
10.03;580240FD;1016;M;85;1;0;0;1;0
10.03;583954E4;1121;M;47;1;0;0;1;0
10.03;58154D77;1191;;;1;0;0;1;0
10.03;582BD146;1067;M;25;1;0;0;1;1
10.03;580732D2;1188;M;42;1;0;0;1;0
10.03;584C4B86;1081;M;;1;0;0;1;0
10.03;580DDF63;1026;;;1;1;0;1;1
10.03;581E0B4C;1184;F;36;1;0;0;2;0
10.03;5806E437;1182;F;50;1;0;0;3;1
10.03;58494707;1384;;;0;1;0;1;1
10.03;583375A0;1023;M;48;1;0;0;1;1
10.03;58252501;1152;;;1;1;0;1;0
10.03;58107C61;1125;M;63;1;0;0;2;1
10.03;583C642F;1211;M;42;1;0;0;1;0
10.03;584ADF58;1195;;;0;1;0;3;1
10.03;5801AA01;1042;;;1;1;0;1;1
10.03;585F6749;1213;;;1;1;0;1;1
10.03;5821BB7B;1042;;;1;1;0;1;1
10.03;58287CFC;1214;M;44;1;0;0;1;0
10.03;585DE7EE;1032;M;62;1;0;0;1;1
10.03;58022162;1144;M;38;1;0;0;2;1
10.03;58477A5A;1239;F;52;1;0;0;2;1
10.03;5844F0B1;1148;F;68;1;0;0;1;0
10.03;581B51BD;1042;;;1;1;0;1;1
10.03;583A7A4A;1215;M;49;1;0;0;1;1
10.03;58234D63;1048;M;35;1;0;0;1;1
10.03;58287397;1088;;;0;1;0;2;1
10.03;58206FB0;1211;M;42;1;0;0;1;0
10.03;58191B1A;1118;;;0;1;0;1;0
10.03;58423F54;1041;M;69;1;0;0;1;0
10.03;581390DE;1162;M;73;1;0;1;1;1
10.03;5829B208;1675;;;0;1;0;5;1
10.03;583C5653;1182;F;60;1;0;0;1;1
10.03;581CEAE8;1211;;;0;1;0;1;1
10.03;584F4FED;1064;M;67;1;0;0;1;0
10.03;584DC25D;1104;;;1;1;0;1;1
10.03;580EB5C2;1203;F;53;1;0;0;1;0
10.03;581A293D;1162;M;24;1;0;0;2;1
10.03;583272C2;1112;M;40;1;0;0;1;0
10.03;580CFC87;1193;M;28;1;0;0;1;1
10.03;582715B7;1037;;;1;0;0;1;1
10.03;58487BB9;1117;;;0;1;0;1;1
10.03;5828C8E6;1119;F;41;1;0;0;1;0
10.03;584FB13F;1214;M;29;1;0;0;1;1
10.03;5833E5E2;1157;F;;1;0;0;1;0
10.03;585A822D;1096;M;;1;0;0;1;0
10.03;580C1941;1211;M;42;1;0;0;1;1
10.03;582D186B;1215;M;49;1;0;0;1;1
10.03;58493928;1205;;;1;1;0;1;1
10.03;580DEA1B;1149;;;0;1;0;1;1
10.03;581DF251;1149;;;0;1;0;2;1
10.03;58060DA2;1117;M;30;1;0;0;4;1
10.03;5818653D;1095;;;0;1;0;1;1
10.03;582ABB22;1039;M;40;1;0;0;1;1
10.03;583F5AEE;1221;M;28;1;0;0;2;1
10.03;5839055E;1211;M;42;1;0;0;1;0
10.03;580AA439;1114;;;0;1;0;3;1
10.03;58023D68;1453;;;0;1;0;1;1
10.03;58125FDA;1111;F;62;1;0;0;1;1
10.03;58445BFF;1152;M;46;1;0;0;1;1
10.03;5839AC09;1211;;;0;1;0;5;1
10.03;5813A158;1162;M;63;1;0;0;3;0
10.03;5800BE20;1214;;;1;0;0;1;1
10.03;5826E3CD;1044;F;;1;0;0;1;0
10.03;5845BEF2;1211;M;42;1;0;0;1;1
10.03;5830567D;1149;;;0;1;0;1;1
10.03;581B7DF0;1122;;;0;1;0;1;1
10.03;581B6069;1211;M;42;1;0;0;2;0
10.03;582DBADD;1183;F;51;1;0;0;1;1
10.03;583B3F77;1215;M;49;1;0;0;1;1
10.03;584E88C2;1173;M;39;1;0;0;1;1
10.03;5807817B;1126;F;77;1;0;0;2;1
10.03;58310E2C;1108;M;38;1;0;0;1;0
10.03;5808A45A;1215;M;49;1;0;0;1;1
10.03;5837B4B7;1144;F;35;1;0;0;2;1
10.03;5828B21E;1112;F;52;1;0;0;3;1
10.03;58272AEC;1117;M;71;1;0;0;3;0
10.03;582CF5D7;1389;;;0;1;0;1;1
10.03;5838B7FF;1042;;;1;1;0;1;0
10.03;5846A5A4;1144;M;44;1;0;0;1;1
10.03;583F4D13;1135;F;32;1;0;0;3;1
10.03;584AB36D;1172;M;51;1;0;0;2;1
10.03;5830FB37;1142;M;48;1;0;0;2;1
10.03;5823629E;1088;M;35;1;0;0;1;0
10.03;5827C209;1196;F;;1;0;0;1;0
10.03;585DD6CA;1078;M;41;1;0;0;4;1
10.03;58451E9F;1139;;;0;1;0;1;0
10.03;5839B00C;1149;;;0;1;0;1;1
10.03;5831F604;1091;M;;1;0;0;1;0
10.03;581B83C1;1117;;;0;1;0;1;1
10.03;58314BD5;1042;;;1;1;0;1;1
10.03;5839FD34;1108;M;38;1;0;0;1;0
10.03;58254AA1;1051;;;0;1;0;1;1
10.03;580DFC15;1077;;;0;1;0;1;1
10.03;5846410C;1174;;;0;1;0;1;1
10.03;5815C074;1061;;;1;1;0;1;1
10.03;583C1D5B;1125;M;61;1;0;1;2;1
10.03;58295A54;1111;;;0;1;0;5;1
10.03;58132003;1174;;;0;1;0;1;1
10.03;582D5576;1173;M;31;1;0;0;1;1
10.03;58107A92;1136;;;0;1;0;2;1
10.03;58062571;1108;M;38;1;0;0;1;0
10.03;5816508E;1086;M;26;1;0;0;3;1
10.03;58102819;1453;;;0;1;0;1;1
10.03;585D0C44;1022;M;72;1;0;0;2;1
10.03;5807F9C3;1087;;;0;1;0;1;1
10.03;582F516E;1054;;;0;1;0;5;1
10.03;5803D4D6;1048;F;65;1;0;0;1;0
10.03;580DFCBC;1026;F;76;1;0;0;3;1
10.03;584DC6C7;1152;M;57;1;0;0;3;1
10.03;58276925;1158;F;61;1;0;0;1;1
10.03;5858AB18;1171;;;1;1;0;2;1
10.03;58411CB1;1182;;;1;1;0;1;1
10.03;584CAE71;1152;M;39;1;0;0;1;1
10.03;5829818E;1239;F;45;1;0;0;1;1
10.03;585D735D;1215;M;49;1;0;0;1;1
10.03;58152791;1215;M;49;1;0;0;1;1
10.03;582E53DB;1223;M;61;1;0;0;1;1
10.03;5800598C;1021;;;1;1;0;1;1
10.03;5820A5F9;1087;;;0;1;0;1;1
10.03;58040F1F;1095;;;0;1;0;1;1
10.03;583C0ABD;1117;;;1;0;0;1;1
10.03;5843A350;1148;F;39;1;0;0;2;1
10.03;581DB13E;1453;;;0;1;0;1;1
10.03;584F6D07;1112;M;43;1;0;0;5;1
10.03;582314C7;1108;M;38;1;0;0;1;1
10.03;5820F1E6;1105;F;28;1;0;0;1;1
10.03;581E8C50;1042;;;1;1;0;1;1
10.03;582FBA6E;1115;;;0;1;0;1;1
10.03;583E518D;1188;M;26;1;0;0;1;1
10.03;582D885A;1173;M;;1;0;0;1;0
10.03;581D3761;1121;F;68;1;0;0;1;0
10.03;582F346F;1131;M;40;1;0;0;1;0
10.03;5817390F;1253;;;0;1;0;1;1
10.03;580F24A6;1211;M;42;1;0;0;1;0
10.03;580684A1;1156;M;;1;0;0;1;0
10.03;583B1CF9;1013;M;46;1;0;0;1;1
10.03;5808DD5F;1118;M;41;1;0;0;1;0
10.03;585995AC;1148;M;37;1;0;0;2;1
10.03;58217203;1118;F;39;1;0;0;1;1
10.03;58172F5D;1087;;;0;1;0;1;1
10.03;582BF346;1117;;;0;1;0;4;1
10.03;5812257D;1211;M;42;1;0;0;1;0
10.03;581FCB7D;1188;M;54;1;0;0;2;1
10.03;580C6773;1013;;;1;0;0;1;1
10.03;582094AA;1223;F;49;1;0;0;1;0
10.03;58040F7C;1042;;;1;1;0;1;1
10.03;581D94C1;1053;F;39;1;0;0;1;1
10.03;5829623C;1181;F;61;1;0;0;2;1
10.03;580495C8;1125;;;0;1;0;1;0
10.03;58051F49;1045;F;22;1;0;0;2;1
10.03;580ED5D6;1214;M;44;1;0;0;1;0
10.03;58037C45;1453;;;0;1;0;1;0
10.03;581E5AAF;1173;M;49;1;0;0;1;1
10.03;584437C1;1116;;;0;1;0;1;1
10.03;583C6BD1;1041;;;0;1;0;1;1
10.03;581CA6A7;1389;;;0;1;0;1;1
10.03;58428281;1051;;;0;1;0;1;1
10.03;583B8183;1095;;;0;1;0;1;1
10.03;584B5EDE;1162;M;70;1;0;0;1;1
10.03;58040312;1113;F;;1;0;0;1;0
10.03;583ADAAA;1389;;;0;1;0;1;1
10.03;580A4983;1074;M;42;1;0;0;1;1
10.03;584DEFC4;1151;F;24;1;0;0;1;1
10.03;58163A15;1051;;;0;1;0;1;1
10.03;585E7AD9;1039;M;39;1;0;0;1;0
10.03;5833A74D;1215;M;49;1;0;0;1;1
10.03;583166AB;1103;M;60;1;0;0;2;1
10.03;582C5D6F;1162;M;26;1;0;0;4;0
10.03;58191BA0;1042;;;1;1;0;1;1
10.03;5830B8A1;1211;M;42;1;0;0;1;1
10.03;582B8948;1173;F;60;1;0;1;2;1
10.03;580FFEDB;1125;;;0;1;0;1;1
10.03;585C076E;1031;M;75;1;0;0;1;0
10.03;580A65A9;1225;M;45;1;0;0;1;1
10.03;58106C15;1156;F;62;1;0;0;1;1
10.03;581D7561;1029;F;48;1;0;0;1;1
10.03;582090B2;1106;;;1;1;0;1;0
10.03;58017EBC;1399;;;0;1;0;1;1
10.03;5820F9C7;1065;M;50;1;0;0;3;1
10.03;583FD805;1095;;;0;1;0;1;1
10.03;582E72F0;1086;F;31;1;0;0;1;0
10.03;5814BAC5;1211;M;42;1;0;0;1;0
10.03;580CA332;1453;;;0;1;0;1;1
10.03;585CC596;1015;;;0;1;0;5;1
10.03;583AB899;1148;M;73;1;0;0;1;1
10.03;5811E3D9;1042;;;1;1;0;1;1
10.03;581922BD;1211;M;42;1;0;0;1;1
10.03;58101FB5;1061;M;34;1;0;0;1;1
10.03;584639E0;1215;M;49;1;0;0;1;1
10.03;5830CB86;1013;M;46;1;0;0;1;1
10.03;5821E651;1054;;;0;1;0;2;1
10.03;58342909;1211;M;42;1;0;0;1;0
10.03;581DFC92;1121;M;40;1;0;0;1;0
10.03;5832903F;1214;M;25;1;0;0;2;1
10.03;5838C7C2;1119;M;;1;0;0;1;0
10.03;5827C13A;1115;;;0;1;0;1;1
10.03;582694CB;1029;;;1;1;0;1;0
10.03;5813BB5D;1119;M;;1;0;0;1;1
10.03;58416247;1152;;;1;1;0;1;1
10.03;580CEEFC;1056;;;0;1;0;3;1
10.03;58364C53;1201;M;;1;0;0;1;0
10.03;585C71A6;1173;;;1;0;0;1;1
10.03;583876B9;1136;;;1;1;0;1;1
10.03;5816662B;1103;M;46;1;0;0;1;1
10.03;584C047A;1115;F;24;1;0;0;3;1
10.03;5819CF3D;1117;;;0;1;0;2;1
10.03;5829036F;1042;;;1;1;0;1;0
10.03;5842B5B2;1143;F;38;1;0;0;3;1
10.03;581278CD;1117;;;0;1;0;1;1
10.03;582D5910;1054;;;0;1;0;1;1
10.03;585E2443;1188;;;1;1;0;5;1
10.03;580A549C;1149;;;0;1;0;1;1
10.03;580DFF53;1116;;;0;1;0;1;1
10.03;58049EA4;1051;;;0;1;0;5;1
10.03;585DAEBE;1038;M;;1;0;0;1;0
10.03;5842264B;1026;;;1;1;0;1;1
10.03;584FF1B2;1211;M;42;1;0;0;1;1
10.03;582EBB84;1037;F;47;1;0;0;2;1
10.03;584B6786;1211;M;42;1;0;0;1;1
10.03;58279156;1174;;;1;1;0;4;1
10.03;58322BE7;1042;;;1;1;0;1;1
10.03;58052BF1;1193;M;43;1;0;0;4;1
10.03;5806A760;1171;F;;1;0;0;1;0
10.03;5822E2B2;1193;M;59;1;0;0;2;1
10.03;58189639;1104;M;47;1;0;0;2;1
10.03;5833B561;1211;M;42;1;0;0;1;1
10.03;581FFB1B;1147;F;38;1;0;0;1;1
10.03;585FFC1C;1091;;;0;1;0;5;1
10.03;58034E9A;1041;F;38;1;0;0;3;1
10.03;5835EDC6;1215;M;49;1;0;0;1;1
10.03;584ADF38;1174;M;34;1;0;0;1;1
10.03;580F0FBD;1117;M;41;1;0;0;1;1
10.03;5831807A;1103;;;0;1;0;1;1
10.03;580B785C;1211;M;42;1;0;0;1;0
10.03;58120520;1215;M;49;1;0;0;1;1
10.03;583C5AB4;1148;F;47;1;0;0;1;0
10.03;5829EDCA;1068;;;0;1;0;2;1
10.03;582BC6EC;1211;M;42;1;0;0;1;0
10.03;5858FA50;1204;F;42;1;0;0;1;0
10.03;5831903A;1211;M;42;1;0;0;1;0
10.03;584E7845;1097;;;1;1;0;2;1
10.03;5805B5C3;1174;F;42;1;0;0;1;0
10.03;5838B84A;1162;;;0;1;0;3;1
10.03;582DC779;1051;;;0;1;0;3;1
10.03;5843EE83;1042;;;1;1;0;1;1
10.03;580F87D1;1052;M;51;1;0;0;1;0
10.03;583BAB6C;1453;;;0;1;0;1;1
10.03;58306BBC;1098;M;28;1;0;0;2;1
10.03;5844C5DE;1106;;;0;1;0;1;0
10.03;5839E262;1013;M;46;1;0;0;1;1
10.03;5805143C;1054;;;0;1;0;5;1
10.03;58005E46;1144;M;78;1;0;0;1;0
10.03;5821F3CB;1043;M;71;1;0;0;1;0
10.03;581F65B3;1087;F;26;1;0;0;2;1
10.03;581C4F0C;1013;F;46;1;0;0;1;1
10.03;5835F6EF;1211;M;42;1;0;0;1;0
10.03;583712B9;1122;F;62;1;0;0;2;1
10.03;580143C6;1142;F;37;1;0;0;3;1
10.03;581991C3;1211;M;42;1;0;0;1;0
10.03;58201F83;1145;;;0;1;0;1;1
10.03;585E3792;1015;F;;1;0;0;2;0
10.03;5843FE3C;1185;M;57;1;0;1;1;1
10.03;5838B0DC;1013;M;46;1;0;0;4;1
10.03;5817B0B2;1117;;;0;1;0;1;1
10.03;5839677D;1139;;;0;1;0;1;0
10.03;584E95C1;1211;M;42;1;0;0;1;1
10.03;58071955;1141;F;45;1;0;0;1;1
10.03;581DB08A;1205;M;29;1;0;0;1;1
10.03;58442D00;1036;M;41;1;0;0;1;1
10.03;5822732C;1211;M;42;1;0;0;1;0
10.03;58448273;1013;;;1;0;0;1;1
