megye;varos;uzlet_tipus;uzlet_nev;uzlet_cim;ertekesites;ugyfelszolgalat;atvetel;latitude;longitude;nyitvatartas
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Márc. 15. u.;6000 Kecskemét, Március 15. utca 15. (Spár mellett, 30 - 40 méterre domb fele.);0;0;1;46.917477000000005;19.672556;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-13:00,Vasárnap: 7:00-11:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Petőfi u. 2.;6000 Kecskemét, Petőfi Sándor utca 2. (UNIVER COOP üzlet mellett 10 emeletes épület alatt);0;0;1;46.904633200000006;19.6877275;Hétfő - Péntek: 6:00-19:00,Szombat: 6:00-13:00,Vasárnap: 7:00-10:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét Petőfi u. 7.;6000 Kecskemét, Petőfi Sándor utca 7. (Szalagházban a Jakó ABC mellett);0;0;1;46.903964;19.685694199999997;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-13:00,Vasárnap: 7:00-11:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Inmedio-Kecskemét TESCO;TESCO bevásárlóközpont 6000 Kecskemét, Talfája tanya (Tescoban, a kasszasor utáni első üzlet);0;0;1;46.932915721923074;19.665918055731254;Hétfő - Szombat: 9:00-20:00,Vasárnap: Zárva
Bács-Kiskun;Kecskemét;Pick Pack Pont;MOL - Kecskemét Békéscsabai út;6000 Kecskemét, Békéscsabai út;0;0;1;46.9112826;19.721261300000002;Hétfő - Vasárnap: 0:00-24:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;OMV-Kecskemét Dunaföldvári út;6000 Kecskemét, Dunaföldvári út 4;0;0;1;46.8988266;19.6742516;Hétfő - Vasárnap: 0:00-24:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;OMV-Pataki és Berente Kft.;6000 Kecskemét, Budai út (hrsz. 4729);0;0;1;46.92085306403085;19.67936930873725;Hétfő - Vasárnap: 0:00-24:00
Bács-Kiskun;Kecskemét;Pick Pack Pont;Playmax-Kecskemét Malom Közp.;Malom Központ bevásárlóközpont 6000 Kecskemét, Korona utca 2. (I. emeleten a Mustang mellett, a Cadeau Csokiszigettel szemben);0;0;1;46.907407899999995;19.689162;Hétfő - Szerda: 9:45-21:15,Csütörtök - Szombat: 9:45-21:30,Vasárnap: Zárva
Bács-Kiskun;Kecskemét;Pick Pack Pont;Sportfactory-Kecskemét Auchan;Kecskemét Auchan áruház 6000 Kecskemét, Dunaföldvári út 2. (Media Markt mellett.);0;0;1;46.8999603;19.6771735;Hétfő - Szerda: 9:00-20:45,Csütörtök - Szombat: 9:00-21:00,Vasárnap: Zárva
Bács-Kiskun;Kiskőrös;Telekom partner;LTE-COM Kft.;6200 Kiskőrös, Bajcsy-Zsilinszky Endre utca 1/2;1;1;1;46.6224967;19.2874568;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Kiskőrös;Pick Pack Pont;OMV-Kiskőrös Dózsa György út;6200 Kiskőrös, Dózsa György út 99;0;0;1;46.6293729;19.2697152;Hétfő - Vasárnap: 0:00-24:00
Bács-Kiskun;Kiskunfélegyháza;Telekom partner;DÉL-HOME Kft.;6100 Kiskunfélegyháza, Kossuth utca 5-7.;1;1;1;46.7117869;19.8477393;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Kiskunfélegyháza;Pick Pack Pont;Inmedio-Kiskunfélegyháza TESCO;TESCO bevásárlóközpont 6100 Kiskunfélegyháza, IX. körzet 8/B (Tescoban, bejárattól balra, Mobil Shoppal szemben);0;0;1;46.689104078297284;19.84925844439704;Hétfő - Szombat: 8:30-19:00,Vasárnap: 9:00-17:00
Bács-Kiskun;Kiskunhalas;Telekom partner;LTE-COM Kft.;6400 Kiskunhalas, Köztársaság út 10.;1;1;1;46.428913;19.479225;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Kiskunhalas;Pick Pack Pont;Inmedio-Kiskunhalas Fejérföld;6400 Kiskunhalas, Fejérföld utca 24 (a bejárattól balra 5. üzlet, 14-es kasszával szemben);0;0;1;46.4193049;19.497594;Hétfő - Szombat: 8:00-18:00,Vasárnap: 9:00-17:00
Bács-Kiskun;Kiskunmajsa;Telekom partner;LTE-COM Kft.;6120 Kiskunmajsa, Fő utca 85;1;1;1;46.4901735;19.739164600000002;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Kiskunmajsa;Pick Pack Pont;MOL - Kiskunmajsa Halasi u.;6120 Kiskunmajsa, Halasi utca 99.;0;0;1;46.5541065;19.6793526;Hétfő - Vasárnap: 6:00-22:00
Bács-Kiskun;Kunszentmiklós;Pick Pack Pont;MOL - Kunszentmiklós;MOL töltőállomás 6090 Kunszentmiklós, Szabadság út;0;0;1;47.02194995645683;19.108560712194844;Hétfő - Szombat: 6:00-20:00,Vasárnap: 7:00-13:00
Bács-Kiskun;Szabadszállás;Pick Pack Pont;MOL - Szabadszállás;MOL töltőállomás 6080 Szabadszállás, Petőfi Sándor utca 19.;0;0;1;46.87157556590625;19.231840580889862;Hétfő - Szombat: 6:00-20:00,Vasárnap: 6:00-13:00
Bács-Kiskun;Tiszakécske;Telekom partner;ELASTIC'91 Kft.;6060 Tiszakécske, Szolnoki út 1.;1;1;1;46.933027;20.095644;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Bács-Kiskun;Tiszakécske;Pick Pack Pont;MOL - Tiszakécske;MOL töltőállomás 6060 Tiszakécske, Szolnoki út;0;0;1;46.93819567226478;20.097271707934624;Hétfő - Vasárnap: 6:00-22:00
Baranya;Komló;Telekom partner;Fúzió Telekom Kft.;7300 Komló, Berek udvar 1.;1;1;1;46.192037899999995;18.2606;Hétfő - Péntek: 8:30-17:00,Szombat: 8:30-12:00,Vasárnap: Zárva
Baranya;Mohács;Telekom partner;Fúzió Telekom Kft.;7700 Mohács, Szabadság utca 28;1;1;1;45.9908607;18.6882718;Hétfő - Péntek: 9:00-17:00,Szombat: 8:00-12:00,Vasárnap: Zárva
Baranya;Mohács;Pick Pack Pont;Inmedio-Mohács TESCO;TESCO bevásárlóközpont 7700 Mohács, Pécsi út 61 (A kasszákkal szembeni sarok üzlet);0;0;1;45.99638511958481;18.65926065810549;Hétfő: 9:00-20:00,Kedd - Szombat: 8:00-20:00,Vasárnap: 8:00-17:00
Baranya;Pécs;Telekom üzlet;Pécs Árkád;Árkád bevásárlóközpont 7621 Pécs, Bajcsy-Zsilinszky utca 11. (emelet );1;1;1;46.071864;18.22995;Hétfő - Szombat: 9:00-20:00,Vasárnap: 10:00-18:00
Baranya;Pécs;Telekom üzlet;Pécs Rákóczi út;7621 Pécs, Rákóczi út 19.;1;1;1;46.072717;18.224767;Hétfő - Péntek: 8:30-17:00,Szombat - Vasárnap: Zárva
Baranya;Pécs;Pick Pack Pont;Inmedio-Pécs TESCO Budai Vám;TESCO bevásárlóközpont 7630 Pécs, Budai Vám 1 (A bejárattól balra a Jeans ruházat mellett);0;0;1;46.10302493420263;18.264821999505557;Hétfő - Péntek: 8:00-18:00,Szombat: 9:00-18:00,Vasárnap: Zárva
Baranya;Pécs;Pick Pack Pont;Inmedio-Pécs TESCO Kincses út;TESCO bevásárlóközpont 7631 Pécs, Kincses út 1 (Bejárattól jobbra, második bolt);0;0;1;46.0362396;18.234773800000003;Hétfő - Szombat: 8:00-20:00,Vasárnap: 8:00-19:00
Baranya;Pécs;Pick Pack Pont;Inmedio-Pécs TESCO Makay;7600 Pécs, Makay I. utca 5 (A bejárattól balra a Vodafone mellett);0;0;1;46.063345370371565;18.184245531829898;Hétfő - Szombat: 9:00-19:00,Vasárnap: Zárva
Baranya;Pécs;Pick Pack Pont;MOL - Pécs Endresz út;7600 Pécs, Endresz út;0;0;1;46.069515;18.202581;Hétfő - Vasárnap: 0:00-24:00
Baranya;Pécs;Pick Pack Pont;OMV-Pécs Zsolnay út;7630 Pécs, Zsolnay út 50;0;0;1;46.0796432;18.2549662;Hétfő - Vasárnap: 0:00-24:00
Baranya;Pécs;Pick Pack Pont;Players Outlet - Pécs Plaza;Pécs Plaza bevásárlóközpont 7631 Pécs, Megyeri út 76 (Közép részen CCC üzlettel szemben.);0;0;1;46.049640107628996;18.211646674591066;Hétfő - Szombat: 10:00-20:00,Vasárnap: Zárva
Baranya;Pécs;Pick Pack Pont;Playmax - Pécs Árkád;Árkád bevásárlóközpont 7622 Pécs, Bajcsy Zsilinszky utca 11 (Budmil üzlettel szemben a földszinten);0;0;1;46.07158487967251;18.22997682209018;Hétfő - Szombat: 9:00-20:00,Vasárnap: Zárva
Baranya;Pécs;Pick Pack Pont;Relay - Pécs MÁV;Pécs vasútállomás 7600 Pécs, Indóház tér (Állomás főbejárat után balra);0;0;1;46.0666999;18.2248638;Hétfő - Vasárnap: 5:00-19:00
Baranya;Pécs;Pick Pack Pont;Relay - Pécs Volán;Volán buszpályaudvar 7600 Pécs, Nagy Lajos király út (Távolsági buszpályaudvaron a pénztárral szemben);0;0;1;46.070573298156205;18.2321332520371;Hétfő - Péntek: 5:45-18:15,Szombat: 6:00-13:00,Vasárnap: 6:30-10:30
Baranya;Pécs;Pick Pack Pont;Relay - Pécs Ybl u.;7600 Pécs, Ybl Miklós utca (hrsz. 529/31);0;0;1;46.06552869999999;18.1985041;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-12:00,Vasárnap: Zárva
Baranya;Siklós;Telekom partner;Fúzió Telekom Kft.;7800 Siklós, Felszabadulás utca 57.;1;1;1;45.855543;18.294732999999997;Hétfő - Péntek: 9:00-17:00,Szombat: 8:00-12:00,Vasárnap: Zárva
Baranya;Siklós;Pick Pack Pont;Inmedio-Siklós TESCO;TESCO bevásárlóközpont 7800 Siklós, Harkányi út 55 (A bejárattól balra az ékszer üzlet mellett);0;0;1;45.8569119879602;18.278204085180725;Hétfő - Szombat: 9:00-20:00,Vasárnap: 9:00-17:00
Baranya;Szigetvár;Telekom partner;Nyilas GSM Kft.;7900 Szigetvár, Széchenyi utca 5.;1;1;1;46.0473315;17.7975672;Hétfő - Péntek: 9:00-12:00, 13:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Békés;Békés;Telekom partner;DÉL-HOME Kft.;5630 Békés, Erzsébet liget 3/2. (Pavilon sor);1;1;1;46.772204450068344;21.130195535993952;Hétfő - Péntek: 9:00-17:00,Szombat: 8:30-12:00,Vasárnap: Zárva
Békés;Békés;Pick Pack Pont;Inmedio-Békés;5630 Békés, Széchenyi tér 2 (Főtéren a híd lábánál);0;0;1;46.772391;21.131956;Hétfő - Péntek: 5:30-18:00,Szombat: 5:30-13:00,Vasárnap: 8:00-12:00
Békés;Békés;Pick Pack Pont;OMV-Békés Kossuth L. u.;5630 Békés, Kossuth L. utca 4;0;0;1;46.772067;21.129036;Hétfő - Vasárnap: 6:00-22:00
Békés;Békéscsaba;Telekom partner;DÉL-HOME Kft.;5600 Békéscsaba, Andrássy út 29-33;1;1;1;46.6777386;21.0929411;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Békés;Békéscsaba;Telekom üzlet;Békéscsaba Csaba Center;Csaba Center bevásárlóközpont 5600 Békéscsaba, Andrássy út 37-43. (földszint);1;1;1;46.676967;21.091154;Hétfő - Szerda: 8:30-17:00,Csütörtök: 8:00-20:00,Péntek: 8:30-17:00,Szombat: 8:30-12:00,Vasárnap: Zárva
Békés;Békéscsaba;Pick Pack Pont;MOL - Békéscsaba - Bartók út;5600 Békéscsaba, Bartók Béla út;0;0;1;46.67308370000001;21.090905399999997;Hétfő - Péntek: 6:00-22:00,Szombat: 0:00-22:00,Vasárnap: 6:00-22:00
Békés;Békéscsaba;Pick Pack Pont;MOL-Békéscsaba Gyulai út;MOL töltőállomás 5600 Békéscsaba, Gyulai út (Sportcsarnokkal szemben);0;0;1;46.68123573452832;21.113123020054672;Hétfő - Vasárnap: 4:00-22:00
Békés;Békéscsaba;Pick Pack Pont;OMV-Békéscsaba Szarvasi út 103;5600 Békéscsaba, Szarvasi út 103. (Áber Oil Kft.);0;0;1;46.6837338;21.059796399999996;Hétfő - Vasárnap: 0:00-24:00
Békés;Békéscsaba;Pick Pack Pont;OMV-Békéscsaba Szarvasi út 16.;5600 Békéscsaba, Szarvasi út 16-18;0;0;1;46.6842181;21.087131;Hétfő - Vasárnap: 6:00-22:00
Békés;Békéscsaba;Pick Pack Pont;Playersroom-Békéscsaba Center;Békéscsaba Center bevásárlóközpont 5600 Békéscsaba, Andrássy utca 37-43. (az üzletház II. emeletén (középen) a kávézónál);0;0;1;46.67746714565133;21.08988757190548;Hétfő - Szombat: 9:00-20:15,Vasárnap: Zárva
Békés;Békéscsaba;Pick Pack Pont;Relay - Békéscsaba Volán;Békéscsaba Volán buszpályaudvar 5600 Békéscsaba, Andrássy út 58 (MÁV Állomás);0;0;1;46.671062;21.083779;Hétfő - Vasárnap: 5:00-19:00
Békés;Gyula;Telekom partner;DÉL-HOME Kft.;5700 Gyula, Városház utca 12.;1;1;1;46.645365600000005;21.2744296;Hétfő - Péntek: 9:00-17:00,Szombat: 8:30-12:00,Vasárnap: Zárva
Békés;Gyula;Pick Pack Pont;Inmedio-Gyula Béke sugárút;5700 Gyula, Béke sugárút 12 (Városközpont, sétáló utca. Vártól 100 m.);0;0;1;46.646269000000004;21.2723512;Hétfő - Péntek: 5:00-18:00,Szombat: 5:30-14:00,Vasárnap: 7:00-12:00
Békés;Gyula;Pick Pack Pont;Relay - Gyula Vásárhelyi u.;5700 Gyula, Vásárhelyi utca 2 (Volán pályaudvar);0;0;1;46.642208600000004;21.273121399999997;Hétfő - Péntek: 5:00-17:00,Szombat: 5:00-12:00,Vasárnap: 6:00-12:00
Békés;Mezőberény;Pick Pack Pont;MOL-Mezőberény Békési út;MOL töltőállomás 5650 Mezőberény, Békési út;0;0;1;46.817907154478206;21.032449862704425;Hétfő - Vasárnap: 6:00-22:00
Békés;Mezőhegyes;Pick Pack Pont;MOL - Mezőhegyes Kinizsi tér;5820 Mezőhegyes, Kinizsi tér 1.;0;0;1;46.319933000000006;20.811512;Hétfő - Vasárnap: 6:00-22:00
Békés;Orosháza;Telekom partner;DÉL-HOME Kft.;5900 Orosháza, Kossuth Lajos utca 10-12.;1;1;1;46.559765999999996;20.668558899999997;Hétfő - Péntek: 9:00-17:00,Szombat: 8:30-12:00,Vasárnap: Zárva
Békés;Orosháza;Pick Pack Pont;Inmedio-Orosháza Könd u.;5900 Orosháza, Könd utca 47-49 (Piaccsarnok épületében);0;0;1;46.559596899999995;20.664014;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-13:00,Vasárnap: 6:00-12:00
Békés;Orosháza;Pick Pack Pont;Inmedio-Vásárhelyi út;TESCO bevásárlóközpont 5900 Orosháza, Vásárhelyi út 23/a (Tescoban, a kasszasor végénél);0;0;1;46.547794851369325;20.649633489410466;Hétfő - Szombat: 9:00-21:00,Vasárnap: 9:00-17:00
Békés;Orosháza;Pick Pack Pont;MOL - Orosháza Elkerülő;5900 Orosháza, Elkerülő;0;0;1;46.57733160903883;20.65046938647765;Hétfő - Vasárnap: 0:00-24:00
Békés;Sarkad;Pick Pack Pont;MOL-Sarkad Vásár tér;MOL töltőállomás 5720 Sarkad, Vásár tér;0;0;1;46.739371423667386;21.37476761534424;Hétfő - Vasárnap: 6:00-22:00
Békés;Szarvas;Pick Pack Pont;Inmedio-Szabadság út;5540 Szarvas, Szabadság út 35 (Városközpont, Kávézó mellett);0;0;1;46.8608592;20.553557;Hétfő - Péntek: 6:00-17:00,Szombat: 6:00-12:00,Vasárnap: 8:00-11:00
Borsod-Abaúj-Zemplén;Edelény;Pick Pack Pont;MOL - Edelény 27.sz. fkl. út;3780 Edelény, 27.sz. főút;0;0;1;48.2945901;20.7334603;Hétfő - Vasárnap: 6:00-22:00
Borsod-Abaúj-Zemplén;Encs;Telekom partner;MOBILPARTNER HUNGARY Kft.;3860 Encs, Petőfi Sándor utca 55.;1;1;1;48.460934;20.88511;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Encs;Pick Pack Pont;Inmedio-Encs Petőfi Sándor út;3860 Encs, Petőfi Sándor út 13 (Közterületen - Petőfi u. 13.);0;0;1;48.317062;21.161801999999998;Hétfő - Péntek: 6:30-12:00, 13:00-16:00,Szombat: 7:30-12:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Kazincbarcika;Telekom partner;MOBILPARTNER HUNGARY Kft.;3700 Kazincbarcika, Szabadság tér 4.;1;1;1;48.248943;20.619694;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:30,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Kazincbarcika;Pick Pack Pont;Inmedio-Kazincbarcika Egressy;3700 Kazincbarcika, Egressy út 54 (Közterületen - 12:00-13:00-ig ebédszünet);0;0;1;48.2558239;20.626998999999998;Hétfő - Péntek: 5:30-12:00, 13:00-17:00,Szombat: 5:30-12:00,Vasárnap: 8:00-11:00
Borsod-Abaúj-Zemplén;Kazincbarcika;Pick Pack Pont;MOL-Kazincbarcika Mucsonyi út;3700 Kazincbarcika, Mucsonyi út;0;0;1;48.2549388;20.650886899999996;Hétfő - Vasárnap: 0:00-24:00
Borsod-Abaúj-Zemplén;Mezőkövesd;Telekom partner;MOBILKER TEAM Kft.;3400 Mezőkövesd, Mátyás Király utca 126.;1;1;1;47.8120546;20.5750497;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Mezőkövesd;Pick Pack Pont;Inmedio-Mezőkövesd Mátyás k.;3400 Mezőkövesd, Mátyás király út 101;0;0;1;47.807953000000005;20.567741199999997;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-12:00,Vasárnap: 8:00-11:00
Borsod-Abaúj-Zemplén;Miskolc;Telekom partner;MOBILKER TEAM Kft.;Szinva Park Üzletház bevásárlóközpont 3530 Miskolc, Bajcsy-Zsilinszky utca 2.;1;1;1;48.102973999999996;20.792023999999998;Hétfő - Szombat: 9:00-19:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Telekom partner;MOBILPARTNER HUNGARY Kft. (Auchan);Auchan bevásárlóközpont 3527 Miskolc, József Attila utca 87.;1;1;1;48.105764;20.836370000000002;Hétfő - Vasárnap: 9:00-20:00
Borsod-Abaúj-Zemplén;Miskolc;Telekom üzlet;Miskolc belváros;3530 Miskolc, Széchenyi István út 36.;1;1;1;48.102371000000005;20.784845999999998;Hétfő - Péntek: 8:30-17:00,Szombat - Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Telekom üzlet;Miskolc Pláza;Miskolc Plaza bevásárlóközpont 3525 Miskolc, Szentpáli utca 2-6. (földszint);1;1;1;48.104634000000004;20.7888258;Hétfő - Szerda: 9:00-20:00,Csütörtök: 9:00-21:00,Péntek - Szombat: 9:00-20:00,Vasárnap: 10:00-18:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc Ady Endre út;3500 Miskolc, Ady Endre út 16 (Rossmann mellett);0;0;1;48.103493;20.791598;Hétfő - Péntek: 5:00-18:00,Szombat: 5:00-13:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc Búza tér;3500 Miskolc, Búza tér 20/b (az aluljáróból feljőve a sárga busz irányában található üveges átvételi pont);0;0;1;48.1068899;20.7919445;Hétfő - Péntek: 5:00-19:00,Szombat: 5:00-15:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc József A. út;Auchan bevásárlóközpont 3527 Miskolc, József A. út 87 (Az Auchan jobb oldali főbejáratától egyenesen);0;0;1;48.105764;20.836370000000002;Hétfő - Szombat: 8:00-20:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc Pesti u.;Auchan bevásárlóközpont 3500 Miskolc, Pesti utca 9;0;0;1;48.0636443;20.7937819;Hétfő - Szombat: 9:00-20:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc Szentp. kapu;3500 Miskolc, Szentpéteri kapu 103 (A Tesco jobb oldali főbejáratán érkezve balra az üzletsoron);0;0;1;48.124761;20.785334;Hétfő - Szombat: 9:00-20:00,Vasárnap: 9:00-19:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Inmedio-Miskolc Szinva;3500 Miskolc, Bajcsy Zs. út 2 (A földszinti üzletsor közepén);0;0;1;48.102973999999996;20.792023999999998;Hétfő - Szombat: 7:30-19:30,Vasárnap: 9:00-17:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;MOL-Miskolc Pesti út II. (ki);3500 Miskolc, Pesti út II. (kijöv;0;0;1;48.0519064;20.7988732;Hétfő - Vasárnap: 0:00-24:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;MOL - Miskolc Vasgyár út;3500 Miskolc, Vasgyár út;0;0;1;48.099524;20.725072;Hétfő - Vasárnap: 6:00-22:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;OMV-Miskolc Búza tér;3500 Miskolc, Búza tér 16 (LIND-PLUSZ OIL Kft. (3475/4 hrsz.));0;0;1;48.1068899;20.7919445;Hétfő - Vasárnap: 0:00-24:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;OMV-Miskolc Kandó Kálmán u.;OMV töltőállomás 3500 Miskolc, Kandó Kálmán út;0;0;1;48.09972138794386;20.70285559178774;Hétfő - Vasárnap: 6:00-22:00
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Players Outlet-Miskolc Outlet;3508 Miskolc, Mésztelep utca 1/a (Külső üzletsoron, a DM mellett. Vasárnap és hétfőn az üzlet zárva tart!!);0;0;1;48.071872799999994;20.784450500000002;Hétfő: Zárva,Kedd - Péntek: 10:00-19:00,Szombat: 10:00-17:00,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Playersroom - Miskolc Plaza;Miskolc Plaza bevásárlóközpont 3525 Miskolc, Szentpáli utca 2-6 (Földszinten, a Búza tér felőli főbejáratnál.);0;0;1;48.105679994693716;20.78848247724613;Hétfő - Csütörtök: 9:00-20:15,Péntek - Szombat: 9:00-20:30,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Miskolc;Pick Pack Pont;Relay-Miskolc Tiszai pu.;3500 Miskolc, Tiszai pu.;0;0;1;48.09894999999999;20.8097272;Hétfő - Péntek: 5:00-19:00,Szombat: 5:00-14:00,Vasárnap: 6:00-12:00
Borsod-Abaúj-Zemplén;Nyékládháza;Pick Pack Pont;OMV-Nyékládháza Viola u.;3433 Nyékládháza, Viola utca 182/1;0;0;1;47.9871704;20.8341995;Hétfő - Vasárnap: 0:00-24:00
Borsod-Abaúj-Zemplén;Ózd;Telekom partner;MOBILPARTNER HUNGARY Kft.;3600 Ózd, Munkás út 13.;1;1;1;48.2188472;20.2881378;Hétfő - Péntek: 9:00-17:00,Szombat: 9:00-12:30,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Ózd;Pick Pack Pont;AVANTI-Ózd Brassói út;Avanti töltőállomás 3600 Ózd, Brassói út 5;0;0;1;48.1778229;20.251281;Hétfő - Vasárnap: 0:00-24:00
Borsod-Abaúj-Zemplén;Ózd;Pick Pack Pont;Inmedio-Ózd TESCO;TESCO bevásárlóközpont 3600 Ózd, Brassói út 3 (A Tesco bejáratától balra az üzletsoron);0;0;1;48.177908;20.251522;Hétfő - Szombat: 9:00-20:00,Vasárnap: 9:00-19:00
Borsod-Abaúj-Zemplén;Ózd;Pick Pack Pont;Inmedio-Ózd Vasvár út;3600 Ózd, Vasvár út 54;0;0;1;48.2185954;20.2771175;Hétfő - Péntek: 6:00-18:00,Szombat: 6:00-14:00,Vasárnap: 8:00-12:00
Borsod-Abaúj-Zemplén;Ózd;Pick Pack Pont;Relay - Ózd Munkás út;3600 Ózd, Munkás út 2.;0;0;1;48.2176027;20.29224;Hétfő - Szombat: 6:30-14:30,Vasárnap: Zárva
Borsod-Abaúj-Zemplén;Sajószentpéter;Pick Pack Pont;MOL-Sajószentpéter Kossuth u.;MOL töltőállomás 3770 Sajószentpéter, Kossuth utca 1.;0;0;1;48.2086836906074;20.732912704284672;Hétfő - Vasárnap: 6:00-22:00
